date,lat,lon,site,Algae
2019-08-22 10:20:00,44.67544396,-122.1887626,Blowout,2522606.895197025
2019-08-27 10:25:00,44.69537557,-122.2412653,Heater,467009.5599391699
2019-08-27 10:50:00,44.67544396,-122.1887626,Blowout,6206.7725798425145
2019-08-29 09:05:00,44.69537557,-122.2412653,Heater,20482.34951348029
2019-08-29 09:25:00,44.67544396,-122.1887626,Blowout,206.89241932808375
2019-09-03 11:20:00,44.69537557,-122.2412653,Heater,344.8206988801397
2019-09-03 11:45:00,44.67544396,-122.1887626,Blowout,1488.4760168326031
2019-09-10 11:35:00,44.69537557,-122.2412653,Heater,138272.7869776352
2019-09-24 10:20:00,44.69537557,-122.2412653,Heater,44409.96569987578
2019-09-24 10:35:00,44.67544396,-122.1887626,Blowout,36816.99862043092
2019-10-01 12:10:00,44.69537557,-122.2412653,Heater,701.135421056284
2019-10-01 12:40:00,44.67544396,-122.1887626,Blowout,42144.15112335151
2019-10-15 10:25:00,44.69537557,-122.2412653,Heater,71.54443072002897
2019-10-15 10:45:00,44.67544396,-122.1887626,Blowout,1247.9225292805054
2019-10-30 11:35:00,44.69537557,-122.2412653,Heater,861.6392828758491
2019-10-30 12:00:00,44.67544396,-122.1887626,Blowout,1172.3903761924748
