date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum,year
2022-02-22,44.712500000000006,-122.20416663333334,0.0,-6.7062499999999545,177.625,6.0875,139.77500000000094,300.4,4676.675,177.7125,2022
2022-02-23,44.712500000000006,-122.20416663333334,0.0,-5.8125,180.375,3.25,133.96250000000094,300.4,4857.05,180.9625,2022
2022-02-24,44.712500000000006,-122.20416663333334,0.0375,-2.4624999999999773,137.5,1.45,131.50000000000097,300.4375,4994.55,182.4125,2022
2022-02-25,44.712500000000006,-122.20416663333334,0.0,-0.125,185.625,2.8750000000000004,131.37500000000097,300.4375,5180.175,185.28750000000002,2022
2022-02-26,44.712500000000006,-122.20416663333334,9.125,2.5437500000000455,133.4625,4.5625,133.918750000001,309.5625,5313.6375,189.85000000000002,2022
2022-02-27,44.712500000000006,-122.20416663333334,28.6875,7.5750000000000455,53.875,3.7,141.49375000000106,338.25,5367.5125,193.55,2022
2022-02-28,44.712500000000006,-122.20416663333334,48.225,10.650000000000034,54.875,8.3125,152.1437500000011,386.475,5422.3875,201.8625,2022
2022-03-01,44.712500000000006,-122.20416663333334,29.975,8.825000000000045,55.375,3.4000000000000004,160.96875000000114,416.45,5477.7625,205.26250000000002,2022
2022-03-02,44.712500000000006,-122.20416663333334,19.95,6.5437500000000455,56.5,1.8,167.51250000000118,436.40000000000003,5534.2625,207.0625,2022
2022-03-03,44.712500000000006,-122.20416663333334,0.0,7.175000000000011,109.0625,2.95,174.6875000000012,436.40000000000003,5643.325,210.01250000000002,2022
2022-03-04,44.712500000000006,-122.20416663333334,0.0,6.862500000000011,174.6875,3.1875,181.5500000000012,436.40000000000003,5818.0125,213.20000000000002,2022
2022-03-05,44.712500000000006,-122.20416663333334,6.1875,3.9437500000000227,152.45,2.8500000000000005,185.49375000000123,442.58750000000003,5970.4625,216.05,2022
2022-03-06,44.712500000000006,-122.20416663333334,2.1750000000000003,2.8312500000000114,209.0,1.8,188.32500000000124,444.7625,6179.4625,217.85000000000002,2022
2022-03-07,44.712500000000006,-122.20416663333334,3.2125,1.65625,211.5,2.3125000000000004,189.98125000000124,447.975,6390.9625,220.16250000000002,2022
2022-03-08,44.712500000000006,-122.20416663333334,6.362500000000001,4.706250000000068,86.78750000000001,4.575,194.6875000000013,454.33750000000003,6477.75,224.7375,2022
2022-03-09,44.712500000000006,-122.20416663333334,5.4625,1.8250000000000455,107.425,3.6,196.51250000000135,459.8,6585.175,228.3375,2022
2022-03-10,44.712500000000006,-122.20416663333334,0.0,1.6875,219.375,2.1,198.20000000000135,459.8,6804.55,230.4375,2022
2022-03-11,44.712500000000006,-122.20416663333334,0.0,5.8875000000000455,222.125,2.8500000000000005,204.0875000000014,459.8,7026.675,233.28750000000002,2022
2022-03-12,44.712500000000006,-122.20416663333334,23.4375,5.900000000000034,201.8,3.0375,209.98750000000143,483.2375,7228.475,236.32500000000002,2022
2022-03-13,44.712500000000006,-122.20416663333334,18.0625,3.3562500000000455,64.5,5.9875,213.34375000000148,501.3,7292.975,242.3125,2022
2022-03-14,44.712500000000006,-122.20416663333334,24.0625,6.03125,64.5,3.3500000000000005,219.37500000000148,525.3625,7357.475,245.66250000000002,2022
2022-03-15,44.712500000000006,-122.20416663333334,15.9,5.225000000000023,137.47500000000002,5.612500000000001,224.6000000000015,541.2625,7494.95,251.275,2022
2022-03-16,44.712500000000006,-122.20416663333334,0.0,6.3875000000000455,206.85,2.1375,230.98750000000155,541.2625,7701.8,253.41250000000002,2022
2022-03-17,44.712500000000006,-122.20416663333334,3.1,4.737500000000011,140.9875,2.7375000000000003,235.72500000000156,544.3625000000001,7842.7875,256.15000000000003,2022
2022-03-18,44.712500000000006,-122.20416663333334,1.0,8.087500000000034,138.85,3.6,243.8125000000016,545.3625000000001,7981.6375,259.75,2022
2022-03-19,44.712500000000006,-122.20416663333334,11.7,3.8187500000000227,108.6375,4.7,247.63125000000161,557.0625,8090.275,264.45,2022
2022-03-20,44.712500000000006,-122.20416663333334,0.9625,2.8562500000000455,161.525,2.8000000000000003,250.48750000000166,558.025,8251.8,267.25,2022
2022-03-21,44.712500000000006,-122.20416663333334,26.7125,4.53125,72.375,3.3000000000000003,255.01875000000166,584.7375,8324.175,270.55,2022
2022-03-22,44.712500000000006,-122.20416663333334,0.0,11.700000000000045,239.85,1.9,266.7187500000017,584.7375,8564.025,272.45,2022
2022-03-23,44.712500000000006,-122.20416663333334,1.9875,8.050000000000011,89.4,3.4000000000000004,274.7687500000017,586.725,8653.425,275.85,2022
