date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum
2012-02-10,44.712500000000006,-122.20416663333334,16.0,7.362500000000068,40.4375,6.612500000000001,126.33750000000111,538.575,3200.9375,266.7625
2012-02-11,44.712500000000006,-122.20416663333334,3.2375000000000003,2.7000000000000455,132.2875,4.35,129.03750000000116,541.8125,3333.225,271.1125
2012-02-12,44.712500000000006,-122.20416663333334,0.0,2.737500000000068,98.8,3.2125000000000004,131.77500000000123,541.8125,3432.025,274.325
2012-02-13,44.712500000000006,-122.20416663333334,1.9875,2.6875,82.16250000000001,2.4000000000000004,134.46250000000123,543.8,3514.1875,276.725
2012-02-14,44.712500000000006,-122.20416663333334,9.5125,0.4562500000000682,87.45,4.9375,134.9187500000013,553.3125,3601.6375,281.6625
2012-02-15,44.712500000000006,-122.20416663333334,0.75,0.8125,151.0125,3.2125000000000004,135.7312500000013,554.0625,3752.65,284.875
2012-02-16,44.712500000000006,-122.20416663333334,1.95,1.5187500000000682,45.5375,4.800000000000001,137.25000000000136,556.0125,3798.1875,289.675
2012-02-17,44.712500000000006,-122.20416663333334,13.975,5.243750000000034,58.825,5.4625,142.4937500000014,569.9875,3857.0125,295.1375
2012-02-18,44.712500000000006,-122.20416663333334,15.425,1.3000000000000682,59.15,9.0625,143.79375000000147,585.4125,3916.1625,304.2
2012-02-19,44.712500000000006,-122.20416663333334,6.2250000000000005,0.2437500000000341,103.8625,5.9750000000000005,144.0375000000015,591.6375,4020.025,310.175
2012-02-20,44.712500000000006,-122.20416663333334,12.3625,1.7625000000000455,57.075,7.3875,145.80000000000155,604.0,4077.1,317.5625
2012-02-21,44.712500000000006,-122.20416663333334,4.2875000000000005,6.787500000000023,42.775000000000006,8.875,152.58750000000157,608.2875,4119.875,326.4375
2012-02-22,44.712500000000006,-122.20416663333334,33.475,4.506250000000023,72.4875,11.125,157.0937500000016,641.7625,4192.3625,337.5625
2012-02-23,44.712500000000006,-122.20416663333334,0.0,1.2937500000000455,128.425,4.0375,158.38750000000164,641.7625,4320.7875,341.6
2012-02-24,44.712500000000006,-122.20416663333334,18.2875,5.018750000000011,154.70000000000002,4.15,163.40625000000165,660.05,4475.4875,345.75
2012-02-25,44.712500000000006,-122.20416663333334,23.0375,0.2750000000000341,138.1125,12.925,163.68125000000168,683.0875,4613.6,358.675
2012-02-26,44.712500000000006,-122.20416663333334,0.2625,-0.28125,97.6375,6.9,163.40000000000168,683.35,4711.2375,365.575
2012-02-27,44.712500000000006,-122.20416663333334,4.75,-0.5187499999999545,103.3375,3.725,162.88125000000173,688.1,4814.575,369.3
2012-02-28,44.712500000000006,-122.20416663333334,15.425,-0.125,121.6875,6.0625,162.75625000000173,703.525,4936.2625,375.3625
2012-02-29,44.712500000000006,-122.20416663333334,23.6875,0.27499999999997726,108.0625,9.9125,163.0312500000017,727.2125,5044.325,385.27500000000003
